delo,sheet,agree_cheap,agree_strong,words_cheap,words_strong
delo_0036,017,0.656,0.854,90,88
delo_0036,018,0.675,0.72,88,80
delo_0038,001,0.02,0.024,238,254
delo_0041,003,0.423,0.56,99,109
delo_0041,004,0.473,0.485,115,117
delo_0041,006,0.502,0.713,115,129
delo_0045,110,0.206,0.257,116,125
delo_0046,017,0.289,0.329,98,96
delo_0046,018,0.379,0.405,100,106
delo_0046,019,0.166,0.253,113,122
delo_0047,119,0.642,0.724,105,103
delo_0047,125,0.543,0.75,136,144
delo_0047,129,0.658,0.851,115,120
delo_0051,006,0.703,0.813,104,101
delo_0051,099,0.428,0.506,180,216
delo_0060,009,0.941,0.956,154,164
delo_0060,018,0.994,0.944,267,270
delo_0060,025,0.944,0.838,152,193
delo_0064,010,0.995,0.864,219,223
delo_0064,011,0.894,0.893,261,275
delo_0064,014,0.91,0.943,250,246
delo_0067,050,0.301,0.419,319,367
delo_0068,008,0.887,0.886,224,229
delo_0071,002,0.399,0.408,190,229
delo_0071,003,0.616,0.596,264,304
delo_0074,004,0.499,0.816,241,225
delo_0084,098,0.4,0.394,104,98
delo_0104,020,0.016,0.017,100,97
delo_0109,003,0.12,0.374,49,77
delo_0109,017,0.427,0.735,102,123
delo_0109,018,0.327,0.362,55,57
delo_0114,001,0.316,0.416,105,104
delo_0114,002,0.012,0.319,90,70
delo_0114,004,0.024,0.272,93,65
delo_0115,002,0.37,0.36,99,96
delo_0115,003,0.416,0.386,89,86
delo_0115,004,0.284,0.344,93,91
delo_0116,001,0.058,0.421,77,100
delo_0116,002,0.362,0.372,90,82
delo_0281,007,0.247,0.282,108,81
delo_0283,001,0.263,0.331,77,77
delo_0283,005,0.282,0.365,68,60
delo_0291,005,0.467,0.47,99,114
delo_0291,007,0.057,0.393,93,106
delo_0395,003,0.396,0.446,125,136
delo_0395,007,0.268,0.259,93,89
delo_0535,001,0.303,0.301,69,71
delo_0535,003,0.218,0.297,69,81
