opis,opis_code,delo,portal_id,name,pages,expected,status
Опись 1,1,0001,1,"Статья К.Э. Циолковского ""К вопросу о летании посредством крыльев"". Вид материала: статья Способ воспроизведения: автограф Языки: русский",169,169,ok
Опись 1,1,0002,2,"Статья К.Э. Циолковского ""Давление жидкости на двигающуюся плоскость"" [Влияние продолговатости пластинки, движущейся в жидкости, на давление, производимое на нее последней]. Вид материала: статья Способ воспроизведения: автограф Языки: русский",63,63,ok
Опись 1,1,0003,3,"Позднейшие замечания К.Э. Циолковского к работе ""Летание посредством крыльев"". Вид материала: замечания к статье Способ воспроизведения: автограф Языки: русский",27,27,ok
Опись 1,1,0004,4,"(Письмо) К.Э. Циолковского ""Первые планы по сопротивлению воздуха"" в С.-Петербургское физико-химическое общество. Вид материала: письма Способ воспроизведения: автограф, машинопись Языки: русский",34,34,ok
Опись 1,1,0005,5,"Письмо К.Э. Циолковского ""Первые планы опытов по сопротивлению воздуха"" в Императорскую Академию наук (не окончено). Вид материала: письмо Способ воспроизведения: автограф, машинопись Языки: русский",9,9,ok
Опись 1,1,0006,6,"Доклад К.Э. Циолковского в Императорскую академию наук об опытах по сопротивлению воздуха, производимых на средства Академии с 1-го марта 1900 г. по 1-е октября 1901 г. и в 1901 и 1902 гг. Вид материала: доклад Способ воспроизведения: автограф Языки: русский",311,455,partial
Опись 1,1,0007,7,"Копии чертежей к отчету К.Э. Циолковского об опытах по сопротивлению воздуха, проводившихся в 1900 – 1901 гг. и чертежи к продолжению отчета (опыты 1901 – 1902 гг.). Вид материала: копии чертежей Способ воспроизведения: автограф Языки: русский",37,142,partial
Опись 1,1,0008,8,"Доклад К.Э. Циолковского в Императорскую Академию Наук об опытах по сопротивлению воздуха, производимых на средства Академии с 1-го марта 1900 г. по 1-е октября 1901 г. 2-й вариант. Вид материала: доклад Способ воспроизведения: автограф Языки: русский",44,340,partial
Опись 1,1,0009,9,"Атлас чертежей к отчету К.Э. Циолковского об опытах по сопротивлению воздуха, производимые на средства Императорской Академии Наук с 1-го марта 1900 г. до 1-го октября 1901 г. и пояснения к чертежам. Вид материала: атлас чертежей Способ воспроизведения: автограф Языки: русский",4,66,partial
Опись 1,1,0010,10,"Фрагмент статьи К.Э. Циолковского ""Аэроплан"". Вид материала: фрагмент статьи Способ воспроизведения: автограф Языки: русский",3,3,ok
