portal_id,opis_code,delo,dates_raw,year_from,year_to,conjectural,material,reproduction
1,1,0001,1891 г.,1891,1891,0,статья,автограф
2,1,0002,18.05.1891 - 19.08.1932,1891,1932,0,статья,автограф
3,1,0003,февраль 1893 г.,1893,1893,0,замечания к статье,автограф
4,1,0004,5.10.1897 - 17.12.1897,1897,1897,0,письма,"автограф, машинопись"
5,1,0005,[1898 г.],1898,1898,1,письмо,"автограф, машинопись"
6,1,0006,12.12.1901 - 12.12.1902,1901,1902,0,доклад,автограф
7,1,0007,декабрь 1901 г. - 8.01.1902,1901,1902,0,копии чертежей,автограф
8,1,0008,декабрь 1901 г. - 29.03.1908,1901,1908,0,доклад,автограф
9,1,0009,декабрь 1901 г.,1901,1901,0,атлас чертежей,автограф
10,1,0010,4.02.1909 г.,1909,1909,0,фрагмент статьи,автограф
11,1,0011,14.07.1921 г.,1921,1921,0,статья,автограф
12,1,0012,сентябрь 1926 г. - декабрь 1926,1926,1926,0,"наброски, черновые таблицы",автограф
13,1,0013,[1926 г.],1926,1926,1,статья,автограф
14,1,0014,6.05.1927 г.- 10.01.1928 г.,1927,1928,0,"таблицы, формулы",автограф
15,1,0015,30.01.1930,1930,1930,0,"вычисления, формулы",автограф
16,1,0016,24.08.1930,1930,1930,0,отрывки,автограф
17,1,0017,9.05.1932,1932,1932,0,статья,автограф
18,1,0018,18.06.1932,1932,1932,0,статья,машинопись с правкой автора
19,1,0019,13.07.1932,1932,1932,0,отрывок,автограф
20,1,0020,16.11.1932,1932,1932,0,статья,машинопись с правкой автора
21,1,0021,25.11.1932,1932,1932,0,статья,машинопись с правкой автора
22,1,0022,[1932 г.],1932,1932,1,статья,машинопись с правкой автора
23,1,0023,14.12.1933,1933,1933,0,статья,машинопись с правкой автора
24,1,0024,8.02.1934,1934,1934,0,статья,машинопись с правкой автора
25,1,0025,27.08.1934,1934,1934,0,статья,автограф
26,1,0026,12.03.1935,1935,1935,0,статья,"автограф, машинопись с правкой автора"
28,1,0028,1878 г.,1878,1878,0,"отрывки, чертежи",автограф
29,1,0029,1879 г. - февраль 1923 г.,1879,1923,0,чертежи,автограф
30,1,0030,14.03.1879 - 19.03.1879,1879,1879,0,"вычисления, формулы",автограф
31,1,0031,20.02.1883 - 13.04.1883,1883,1883,0,статья,автограф
32,1,0032,10.05.1897 - 1911 гг.,1897,1911,0,фрагменты рукописей,автограф
33,1,0033,[1905 г.],1905,1905,1,статья,автограф
34,1,0034,[1911 г.],1911,1911,1,статья,автограф
35,1,0035,[1911 г.],1911,1911,1,статья,автограф
36,1,0036,26.09.1913,1913,1913,0,повесть,автограф
37,1,0037,28.12.1913 - 16.08.1916,1913,1916,0,отрывки вычислений,автограф
38,1,0038,ранее 1917 г. - апрель 1917 г.,1917,1917,0,предисловие к повести,автограф
39,1,0039,23.10.1921,1921,1921,0,набросок статьи,автограф
40,1,0040,29.10.1923 - 1.11.1923,1923,1923,0,статья,автограф
41,1,0041,22.11.1923,1923,1923,0,добавление к статье,автограф
42,1,0042,2.12.1923,1923,1923,0,формулы,автограф
43,1,0043,21.04.1924 - 22.05.1924,1924,1924,0,статья,автограф
44,1,0044,5.05.1924 - 18.07.1924,1924,1924,0,"материалы к ней, статья",автограф
45,1,0045,26.05.1924 - 11.08.1926,1924,1926,0,"материалы к ней, статья, таблицы",автограф
46,1,0046,июль 1924 г. - 8.06.1926,1924,1926,0,статья,"автограф, машинопись с правкой автора"
47,1,0047,[июнь 1925 г.],1925,1925,1,статья,автограф
48,1,0048,18.09.1925 - 31.12.1925,1925,1925,0,"расчёты, формулы",автограф
49,1,0049,7.11.1925 - 17.11.1925,1925,1925,0,"набросок письма, статья",автограф
50,1,0050,7.11.1925 - июнь 1926 г.,1925,1926,0,статья,автограф
51,1,0051,декабрь 1925 г. - февраль 1926 г,1925,1926,0,"материалы к ней, статья",автограф
52,1,0052,[1925 г.],1925,1925,1,программа лекций,автограф
53,1,0053,16.04.1926,1926,1926,0,письмо,автограф
54,1,0054,14.05.1927,1927,1927,0,предисловие к книге,"автограф, машинопись с правкой автора"
55,1,0055,17.10.1927 - 26.11.1927,1927,1927,0,черновой набросок,автограф
56,1,0056,ноябрь 1928 г.,1928,1928,0,статья,машинопись с правкой автора
57,1,0057,22.06.1929,1929,1929,0,вставки к работе,"автограф, машинопись"
58,1,0058,декабрь 1929 г.,1929,1929,0,статья,машинопись с правкой автора
59,1,0059,декабрь 1929 г.,1929,1929,0,статья,машинопись с правкой автора
60,1,0060,1929 г.,1929,1929,0,статья,машинопись с правкой автора
61,1,0061,5.01.1930,1930,1930,0,статья,машинопись с правкой автора
62,1,0062,25.07.1930,1930,1930,0,фрагмент,автограф
63,1,0063,13.10.1930,1930,1930,0,формулы,автограф
64,1,0064,октябрь 1930 г.,1930,1930,0,статья,машинопись с правкой автора
65,1,0065,25.11.1930,1930,1930,0,статья,машинопись с правкой автора
66,1,0066,1930 г.,1930,1930,0,статья,машинопись с правкой автора
67,1,0067,1930 - 1931 гг.,1930,1931,0,"рисунки, таблицы, формулы","автограф, машинопись с правкой автора"
68,1,0068,[не позднее 1930 г.],1930,1930,1,статья,машинопись с правкой автора
69,1,0069,1930 - 1932 гг.,1930,1932,0,"таблицы, черновые чертежи","автограф, машинопись с правкой автора"
70,1,0070,20.01.1931,1931,1931,0,формулы,автограф
71,1,0071,август 1931 г.,1931,1931,0,статья,машинопись с правкой автора
72,1,0072,март 1932 г.,1932,1932,0,статья,машинопись с правкой автора
73,1,0073,март 1932 г.,1932,1932,0,статья,машинопись с правкой автора
74,1,0074,май 1932 г.,1932,1932,0,статья,машинопись с правкой автора
75,1,0075,29.06.1932,1932,1932,0,статья,машинопись с правкой автора
76,1,0076,29.06.1932,1932,1932,0,лекция,машинопись с правкой автора
77,1,0077,18.07.1932,1932,1932,0,рисунки,автограф
78,1,0078,26.07.1932,1932,1932,0,статья,автограф
79,1,0079,11.09.1932,1932,1932,0,статья,машинопись с правкой автора
80,1,0080,4.10.1932,1932,1932,0,статья,машинопись
81,1,0081,[1932 г.],1932,1932,1,статья,машинопись с правкой автора
82,1,0082,1.01.1933,1933,1933,0,статья,машинопись с правкой автора
83,1,0083,1.03.1933,1933,1933,0,статья,машинопись с правкой автора
84,1,0084,21.06.1933,1933,1933,0,статья,машинопись с правкой автора
85,1,0085,29.08.1933,1933,1933,0,статья,машинопись с правкой автора
86,1,0086,август 1933 г.,1933,1933,0,статья,машинопись с правкой автора
87,1,0087,12.09.1933,1933,1933,0,рисунки,автограф
88,1,0088,26.10.1933,1933,1933,0,"замечания, надписи к картинам","автограф, машинопись"
89,1,0089,8.11.1933 - 9.11.1933,1933,1933,0,таблицы,автограф
90,1,0090,8.11.1933 - 9.11.1933,1933,1933,0,таблицы,автограф
91,1,0091,[октябрь 1933 г.] - [ноябрь 1933,1933,1933,1,схемы,автограф
92,1,0092,[октябрь 1933 г.] - [ноябрь 1933,1933,1933,1,"рисунки, таблицы",автограф
93,1,0093,3.10.1933,1933,1933,0,статья,автограф
94,1,0094,[1933 г.],1933,1933,1,план,автограф
95,1,0095,12.02.1934,1934,1934,0,конспект статьи,"автограф, машинопись с правкой автора"
96,1,0096,15.02.1934,1934,1934,0,набросок,автограф
97,1,0097,17.03.1934,1934,1934,0,отрывок,автограф
98,1,0098,22.10.1934,1934,1934,0,статья,автограф
99,1,0099,2.11.1934,1934,1934,0,формулы,автограф
100,1,0100,5.11.1934,1934,1934,0,статья,автограф
101,1,0101,12.08.1934,1934,1934,0,монография,"автограф, машинопись с правкой автора"
102,1,0102,[1934 г.] - [1935 г.],1934,1935,1,монография,"автограф, машинопись с правкой автора"
103,1,0103,[1934 г.] - [1935 г.],1934,1935,1,монография,"автограф, машинопись с правкой автора"
104,1,0104,[1934 г.] - [1935 г.],1934,1935,1,монография,"автограф, машинопись с правкой автора"
105,1,0105,28.01.1935,1935,1935,0,монография,"автограф, машинопись с правкой автора"
106,1,0106,27.02.1935,1935,1935,0,статья,"автограф, машинопись"
107,1,0107,10.03.1935 - 10.08.1935,1935,1935,0,монография,"автограф, машинопись с правкой автора"
108,1,0108,21.03.1935,1935,1935,0,монография,"автограф, машинопись с правкой автора"
109,1,0109,21.03.1935,1935,1935,0,монография,"автограф, машинопись с правкой автора"
110,1,0110,25.03.1935,1935,1935,0,статья,машинопись с правкой автора
111,1,0111,29.03.1935,1935,1935,0,"материалы, черновые материалы",автограф
112,1,0112,29.03.1935,1935,1935,0,статья,машинопись с правкой автора
113,1,0113,17.04.1935,1935,1935,0,статья,машинопись
114,1,0114,23.04.1935,1935,1935,0,статья,"автограф, машинопись с правкой автора"
115,1,0115,28.04.1935,1935,1935,0,статья,"автограф, машинопись"
116,1,0116,28.07.1935,1935,1935,0,статья,"автограф, машинопись с правкой автора"
117,1,0117,[1935 г.],1935,1935,1,монография,"автограф, машинопись с правкой автора"
118,1,0118,1935 г.,1935,1935,0,статья,"автограф, машинопись с правкой автора"
119,1,0119,1935 г.,1935,1935,0,"статья, фрагмент","автограф, машинопись"
120,1,0120,1935 г.,1935,1935,0,таблицы,автограф
121,1,0121,1935 г.,1935,1935,0,"смета, фрагмент",автограф
122,1,0122,1935 г.,1935,1935,0,фрагменты,автограф
123,1,0123,5.09.1886,1886,1886,0,статья,автограф
124,1,0124,[1896 г.],1896,1896,1,статья,автограф
125,1,0125,30.08.1890,1890,1890,0,статья,автограф
