stratum,delo,sheet,model,agreement,words,words_ref,uncertain,tok_in,tok_out,seconds
лёгкая,delo_0064,028,gemini-3.5-flash-lite (low),0.93,233,227,0.0255,1609,751,3.8
лёгкая,delo_0116,010,gemini-3.5-flash-lite (low),0.904,211,196,0.0216,1618,571,3.8
лёгкая,delo_0060,009,gemini-3.5-flash-lite (low),0.887,166,152,0.011,1637,476,3.0
лёгкая,delo_0074,013,gemini-3.5-flash-lite (low),0.91,184,192,0.0395,1652,607,3.5
лёгкая,delo_0088,002,gemini-3.5-flash-lite (low),0.83,98,102,0.009,1625,289,2.1
лёгкая,delo_0068,008,gemini-3.5-flash-lite (low),0.814,229,211,0.0341,1637,682,3.6
типичная,delo_0047,132,gemini-3.5-flash-lite (low),0.602,128,131,0.0355,1663,389,4.4
типичная,delo_0046,138,gemini-3.5-flash-lite (low),0.606,92,83,0.0388,1620,303,2.6
типичная,delo_0071,003,gemini-3.5-flash-lite (low),0.56,279,246,0.0113,1625,1282,5.2
типичная,delo_0104,031,gemini-3.5-flash-lite (low),0.551,101,164,0.0385,1637,321,2.7
типичная,delo_0041,003,gemini-3.5-flash-lite (low),0.611,116,123,0.1678,1637,387,2.9
типичная,delo_0084,100,gemini-3.5-flash-lite (low),0.61,131,161,0.0794,1637,648,3.5
лёгкая,delo_0064,028,gemini-3.6-flash (low),0.948,237,227,0.0073,1609,620,4.6
лёгкая,delo_0116,010,gemini-3.6-flash (low),0.941,212,196,0.0,1618,1568,10.2
лёгкая,delo_0060,009,gemini-3.6-flash (low),0.951,153,152,0.0056,1637,1009,6.6
лёгкая,delo_0074,013,gemini-3.6-flash (low),0.944,183,192,0.005,1652,482,3.9
лёгкая,delo_0088,002,gemini-3.6-flash (low),0.908,105,102,0.0,1625,1471,8.0
лёгкая,delo_0068,008,gemini-3.6-flash (low),0.891,222,211,0.0,1637,568,4.5
типичная,delo_0047,132,gemini-3.6-flash (low),0.677,132,131,0.0071,1663,1607,9.5
типичная,delo_0046,138,gemini-3.6-flash (low),0.636,93,83,0.0,1620,854,6.4
типичная,delo_0071,003,gemini-3.6-flash (low),0.56,347,246,0.0,1625,2761,14.2
типичная,delo_0104,031,gemini-3.6-flash (low),0.601,99,164,0.0,1637,1099,7.8
типичная,delo_0041,003,gemini-3.6-flash (low),0.746,121,123,0.0543,1637,1314,7.4
типичная,delo_0084,100,gemini-3.6-flash (low),0.545,136,161,0.0178,1637,1907,9.3
лёгкая,delo_0064,028,gemini-3.5-flash-lite (minimal),0.908,231,227,0.0299,1609,823,7.9
лёгкая,delo_0116,010,gemini-3.5-flash-lite (minimal),0.924,211,196,0.0087,1618,553,4.2
