opis,delo,pages_expected,status,title,source_url
Опись 1,290,3,ok,"Текст объявления К.Э. Циолковского в газету о болиде, виденном в Московской области 14 мая 1934 г. Вид материала: объявление Способ воспроизведения: машинопись Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=293
Опись 1,291,41,ok,"Статья К.Э. Циолковского ""О болиде 14 мая 1934 г., виденном в Московской области"". Вид материала: статья Способ воспроизведения: автограф, машинопись с правкой автора Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=294
Опись 3,187,6,ok,"Письма редакции газеты ""Известия"" К.Э. Циолковскому с просьбой выслать статьи о болиде и отказ от помещения статьи в журнале ""Сорена"". Вид материала: письмо, телеграмма Способ воспроизведения: машинопись Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=990
Опись 4,744,3,ok,"Письмо преподавателя физики Александротальского с/х техникума А. Абрамова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?"". Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1756
Опись 4,745,6,ok,"Письма преподавателя физики и математики Б.В. Агафонова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?"". Вид материала: письма Способ воспроизведения: автограф, машинопись Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1757
Опись 4,746,6,ok,"Письмо начальника отдела технического контроля завода №75 Л.Л. Алексеева к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?"". Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1758
Опись 4,747,4,ok,"Письмо мастера Дорогомиловского химзавода Б.Д. Алмазова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?"". Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1759
Опись 4,748,3,ok,"Письмо специального редактора журнала ""Фронт фабзавуча"" Б. Андреева к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?"". Вид материала: письмо Способ воспроизведения: автограф Языки: русский, украинский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1760
Опись 4,749,4,ok,"Письмо К.К. Аникина к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?"". Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1761
Опись 4,750,5,ok,"Письмо члена Московской коллегии защитников Григория Евгеньевича Артынова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?"". Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1762
