delo,hand,typed,words_hand,words_typed,ratio,longest_run
delo_0060,023,007,298,298,0.997,180
delo_0060,030,046,252,252,0.996,222
delo_0199,029,015,168,168,0.994,132
delo_0060,026,042,266,268,0.993,225
delo_0060,035,043,287,287,0.993,119
delo_0060,040,048,277,277,0.993,175
delo_0060,022,038,252,252,0.992,200
delo_0060,028,044,296,295,0.988,140
delo_0060,036,044,294,295,0.988,214
delo_0060,039,007,298,298,0.987,167
delo_0060,006,046,253,252,0.986,185
delo_0074,019,086,232,233,0.985,82
delo_0064,048,117,191,189,0.984,69
delo_0060,027,043,285,287,0.983,84
delo_0060,031,007,298,298,0.983,167
delo_0074,009,076,202,201,0.983,127
delo_0064,058,086,219,219,0.982,101
delo_0074,011,039,221,223,0.982,90
delo_0074,021,088,224,228,0.982,112
delo_0064,056,084,237,238,0.981,151
delo_0060,020,044,297,295,0.98,197
delo_0064,042,125,157,156,0.978,129
delo_0074,005,033,206,205,0.978,67
delo_0116,026,036,183,183,0.978,72
delo_0064,057,085,260,260,0.977,110
delo_0060,008,048,277,277,0.975,103
delo_0060,024,048,273,277,0.975,123
delo_0064,051,079,222,221,0.975,114
delo_0060,037,045,298,297,0.971,179
delo_0064,033,075,209,207,0.971,84
delo_0064,030,133,218,222,0.968,64
delo_0064,053,081,205,206,0.968,166
delo_0109,002,062,193,192,0.966,66
delo_0060,019,043,285,287,0.965,143
delo_0060,029,045,300,297,0.965,104
delo_0074,015,046,215,215,0.963,98
delo_0116,012,051,222,223,0.962,88
delo_0064,015,089,188,195,0.961,104
delo_0064,028,099,230,227,0.958,67
delo_0106,020,017,226,229,0.958,76
delo_0116,010,049,205,196,0.958,86
delo_0109,004,063,208,208,0.957,65
delo_0060,009,033,164,152,0.956,111
delo_0060,021,045,298,297,0.955,89
delo_0064,050,078,192,192,0.948,68
delo_0074,017,084,171,171,0.947,45
delo_0060,005,045,299,297,0.946,65
delo_0064,024,095,190,180,0.946,84
delo_0068,003,011,246,238,0.946,46
delo_0064,027,098,125,129,0.945,72
delo_0074,001,068,196,185,0.945,142
delo_0060,018,042,270,268,0.944,88
delo_0064,052,080,194,196,0.944,81
delo_0064,014,088,246,227,0.943,82
delo_0064,016,090,250,228,0.941,88
delo_0064,063,091,246,239,0.936,127
delo_0074,003,031,175,171,0.936,36
