path,hand,pitch_peak,pitch_agree,ink_cv,gap_cv,height_cv,bands
data/opis_1/delo_0267/000.jpg,1,0.46,1.0,1.129,1.233,1.451,6
data/opis_1/delo_0267/001.jpg,1,0.755,1.0,2.079,2.157,1.049,8
data/opis_1/delo_0267/002.jpg,0,0.441,0.71,0.283,1.478,0.298,36
data/opis_1/delo_0267/003.jpg,0,0.46,0.673,0.248,1.216,0.034,35
data/opis_1/delo_0267/004.jpg,1,0.373,0.568,0.36,1.019,0.163,38
data/opis_1/delo_0267/005.jpg,0,0.395,0.976,0.266,0.967,0.073,36
data/opis_1/delo_0267/006.jpg,1,0.471,0.568,0.264,1.183,0.33,36
data/opis_1/delo_0267/007.jpg,0,0.37,0.803,0.262,0.903,0.046,35
data/opis_1/delo_0267/008.jpg,0,0.443,0.745,0.279,0.966,0.259,34
data/opis_1/delo_0267/009.jpg,1,0.685,0.846,1.738,1.287,1.443,21
data/opis_1/delo_0267/010.jpg,1,0.374,0.479,0.398,1.061,0.254,34
data/opis_1/delo_0267/011.jpg,1,0.645,1.0,1.205,1.302,1.638,18
data/opis_1/delo_0267/012.jpg,0,0.409,0.667,0.296,1.41,0.081,35
data/opis_1/delo_0267/013.jpg,0,0.403,0.744,0.338,1.383,0.058,35
data/opis_1/delo_0267/014.jpg,0,0.409,0.704,0.246,1.318,0.08,36
data/opis_1/delo_0267/015.jpg,0,0.437,0.716,0.266,1.066,0.168,36
data/opis_1/delo_0267/016.jpg,0,0.37,0.736,0.277,1.003,0.094,10
data/opis_1/delo_0267/017.jpg,1,0.647,0.021,1.159,2.37,0.581,28
data/opis_1/delo_0267/018.jpg,0,0.541,1.0,0.884,1.295,0.918,27
data/opis_1/delo_0267/019.jpg,1,0.723,1.0,1.172,1.254,0.779,28
data/opis_1/delo_0267/020.jpg,0,0.569,1.0,0.95,1.239,1.411,33
data/opis_1/delo_0267/021.jpg,1,0.518,0.849,0.911,1.245,0.92,22
data/opis_1/delo_0267/022.jpg,1,0.563,0.358,0.949,1.457,1.143,24
data/opis_1/delo_0267/023.jpg,1,0.645,0.326,1.245,1.519,1.549,27
data/opis_1/delo_0267/024.jpg,1,0.734,1.0,1.297,1.738,0.985,21
data/opis_1/delo_0105/000.jpg,1,0.716,0.849,1.879,1.302,1.715,22
data/opis_1/delo_0105/001.jpg,1,0.577,1.0,1.497,1.273,2.798,23
data/opis_1/delo_0105/002.jpg,1,0.456,0.274,1.297,1.328,2.872,29
data/opis_1/delo_0105/003.jpg,1,0.421,0.347,1.151,1.441,1.37,39
data/opis_1/delo_0105/004.jpg,1,0.797,0.818,1.923,2.264,1.339,20
data/opis_1/delo_0105/005.jpg,1,0.74,1.0,1.811,1.387,1.531,16
data/opis_1/delo_0105/006.jpg,1,0.769,1.0,1.377,1.502,1.339,7
data/opis_1/delo_0105/007.jpg,0,0.84,1.0,1.806,2.286,1.522,10
data/opis_1/delo_0105/008.jpg,1,0.78,1.0,1.357,1.436,1.863,16
data/opis_1/delo_0105/009.jpg,1,0.695,1.0,1.206,1.281,1.859,22
data/opis_1/delo_0105/010.jpg,1,0.827,1.0,1.44,1.28,1.813,14
data/opis_1/delo_0105/011.jpg,1,0.553,0.705,1.241,1.27,1.551,27
data/opis_1/delo_0105/012.jpg,1,0.743,1.0,2.337,1.616,2.369,10
data/opis_1/delo_0105/013.jpg,1,0.848,1.0,1.617,2.375,1.235,13
data/opis_1/delo_0105/014.jpg,1,0.815,1.0,1.587,1.367,0.635,18
data/opis_1/delo_0105/015.jpg,1,0.776,0.912,2.524,1.366,1.493,30
data/opis_1/delo_0105/016.jpg,0,0.818,1.0,1.919,2.271,1.383,16
data/opis_1/delo_0105/017.jpg,1,0.84,1.0,2.309,1.331,1.021,21
data/opis_1/delo_0105/018.jpg,1,0.76,0.731,1.864,1.431,0.905,15
data/opis_1/delo_0105/019.jpg,1,0.571,0.247,1.348,1.181,0.817,21
data/opis_1/delo_0105/020.jpg,1,0.766,1.0,2.228,1.775,1.618,22
data/opis_1/delo_0105/021.jpg,0,0.58,0.119,2.281,1.065,0.806,23
data/opis_1/delo_0105/022.jpg,1,0.716,1.0,1.859,2.121,1.92,15
data/opis_1/delo_0105/023.jpg,1,0.659,1.0,1.446,1.558,1.754,12
data/opis_1/delo_0105/024.jpg,1,0.787,1.0,2.43,1.82,1.445,22
data/opis_1/delo_0105/025.jpg,1,0.618,1.0,1.31,1.397,1.664,27
data/opis_1/delo_0105/026.jpg,1,0.536,1.0,1.079,1.207,2.63,21
data/opis_1/delo_0105/027.jpg,1,0.672,1.0,1.284,1.366,1.91,12
data/opis_1/delo_0105/028.jpg,0,0.779,0.819,2.674,1.512,1.182,33
data/opis_1/delo_0105/029.jpg,1,0.818,1.0,1.863,1.387,1.746,17
data/opis_1/delo_0105/030.jpg,1,0.817,1.0,2.674,1.51,1.469,13
data/opis_1/delo_0105/031.jpg,0,0.647,0.664,1.383,1.759,2.076,15
data/opis_1/delo_0105/032.jpg,1,0.782,0.798,2.181,1.551,1.319,11
data/opis_1/delo_0105/033.jpg,1,0.832,0.189,2.456,2.103,2.102,15
data/opis_1/delo_0105/034.jpg,1,0.6,1.0,1.317,1.93,2.314,20
data/opis_1/delo_0105/036.jpg,0,0.789,1.0,1.557,2.236,1.577,19
data/opis_1/delo_0105/037.jpg,1,0.794,1.0,1.807,1.29,1.508,16
data/opis_1/delo_0105/038.jpg,1,0.835,1.0,2.134,1.483,1.339,16
data/opis_1/delo_0105/039.jpg,1,0.776,0.889,1.785,1.403,1.989,18
data/opis_1/delo_0105/040.jpg,1,0.738,0.889,1.502,1.816,1.897,18
data/opis_1/delo_0105/041.jpg,1,0.633,0.876,1.507,1.413,2.044,14
data/opis_1/delo_0105/042.jpg,1,0.705,1.0,1.253,2.019,1.812,16
data/opis_1/delo_0105/043.jpg,1,0.794,1.0,2.04,2.055,1.245,25
data/opis_1/delo_0105/044.jpg,1,0.66,1.0,1.583,1.502,1.966,14
data/opis_1/delo_0105/045.jpg,1,0.727,0.822,1.579,1.46,1.598,15
data/opis_1/delo_0105/046.jpg,1,0.724,1.0,1.429,1.242,1.903,14
data/opis_1/delo_0105/047.jpg,1,0.853,0.896,1.925,1.131,1.127,21
data/opis_1/delo_0105/048.jpg,1,0.738,1.0,1.256,1.327,1.34,20
data/opis_1/delo_0105/049.jpg,1,0.778,1.0,1.83,1.35,1.354,23
data/opis_1/delo_0105/050.jpg,0,0.76,1.0,1.708,1.394,2.198,14
data/opis_1/delo_0105/051.jpg,1,0.918,0.937,2.548,1.383,0.68,14
data/opis_1/delo_0105/052.jpg,1,0.703,0.9,1.365,2.146,0.982,23
data/opis_1/delo_0105/053.jpg,1,0.854,1.0,2.321,2.05,1.312,22
data/opis_1/delo_0105/054.jpg,1,0.573,1.0,1.231,1.538,1.802,18
data/opis_1/delo_0105/055.jpg,1,0.794,1.0,1.981,1.33,1.256,23
data/opis_1/delo_0105/056.jpg,1,0.75,1.0,1.379,1.531,1.354,18
data/opis_1/delo_0105/057.jpg,1,0.819,1.0,2.211,1.263,1.1,26
data/opis_1/delo_0105/058.jpg,1,0.784,0.453,1.698,1.62,0.809,17
data/opis_1/delo_0105/059.jpg,1,0.471,0.953,1.375,1.102,0.717,27
data/opis_1/delo_0105/060.jpg,0,0.501,0.049,0.343,1.032,0.248,28
data/opis_1/delo_0105/061.jpg,0,0.488,-0.014,0.321,1.089,0.146,29
data/opis_1/delo_0105/062.jpg,0,0.642,-0.008,0.622,1.586,0.326,25
data/opis_1/delo_0105/063.jpg,0,0.633,0.195,0.546,1.715,0.355,16
data/opis_1/delo_0105/064.jpg,0,0.415,0.409,0.321,1.029,0.185,28
data/opis_1/delo_0105/065.jpg,0,0.489,0.108,0.394,1.041,0.258,28
data/opis_1/delo_0105/066.jpg,1,0.343,0.417,0.604,1.031,0.346,23
data/opis_1/delo_0105/067.jpg,1,0.485,0.248,0.477,1.346,0.411,28
data/opis_1/delo_0105/068.jpg,0,0.497,0.167,0.386,1.083,0.316,29
data/opis_1/delo_0105/069.jpg,0,0.404,0.43,0.446,1.169,0.396,32
data/opis_1/delo_0105/070.jpg,0,0.506,0.014,0.425,1.491,0.521,31
data/opis_1/delo_0105/071.jpg,0,0.435,0.594,0.358,1.05,0.091,27
data/opis_1/delo_0105/072.jpg,0,0.458,0.34,0.328,1.045,0.242,30
data/opis_1/delo_0105/073.jpg,0,0.436,0.202,0.356,0.99,0.279,31
data/opis_1/delo_0105/074.jpg,0,0.593,-0.134,0.537,1.591,0.456,27
data/opis_1/delo_0105/075.jpg,0,0.431,0.268,0.391,1.005,0.231,28
data/opis_1/delo_0105/076.jpg,0,0.481,0.318,0.393,1.061,0.76,26
data/opis_1/delo_0105/077.jpg,0,0.429,0.539,0.378,1.068,0.119,30
data/opis_1/delo_0105/078.jpg,0,0.456,0.413,0.322,1.431,0.065,21
data/opis_1/delo_0105/079.jpg,1,0.353,0.392,0.518,1.109,0.326,24
data/opis_1/delo_0105/080.jpg,0,0.423,0.359,0.314,1.043,0.218,27
data/opis_1/delo_0105/081.jpg,0,0.445,0.16,0.333,1.045,0.204,30
data/opis_1/delo_0105/082.jpg,0,0.555,-0.015,0.572,1.503,0.332,25
data/opis_1/delo_0105/083.jpg,0,0.595,0.201,0.508,1.705,0.362,17
data/opis_1/delo_0105/084.jpg,0,0.342,0.502,0.636,1.172,0.37,23
data/opis_1/delo_0105/085.jpg,0,0.404,0.511,0.43,1.225,0.191,27
data/opis_1/delo_0105/086.jpg,0,0.442,0.242,0.376,1.061,0.147,28
data/opis_1/delo_0105/087.jpg,0,0.544,0.297,0.614,1.746,0.579,29
data/opis_1/delo_0105/088.jpg,0,0.507,0.248,0.575,1.154,0.397,30
data/opis_1/delo_0105/089.jpg,0,0.392,0.427,0.435,1.106,0.281,30
data/opis_1/delo_0105/090.jpg,0,0.441,0.054,0.578,1.44,0.814,29
data/opis_1/delo_0105/091.jpg,0,0.399,0.632,0.377,0.993,0.076,27
data/opis_1/delo_0105/092.jpg,0,0.457,0.539,0.374,1.262,0.273,30
data/opis_1/delo_0105/093.jpg,0,0.443,0.277,0.301,1.018,0.382,33
data/opis_1/delo_0105/094.jpg,1,0.528,-0.108,0.388,1.087,0.416,27
data/opis_1/delo_0105/095.jpg,0,0.413,0.391,0.376,1.05,0.218,28
data/opis_1/delo_0105/096.jpg,0,0.455,0.293,0.362,1.07,0.168,27
data/opis_1/delo_0105/097.jpg,0,0.408,0.59,0.372,1.103,0.129,30
data/opis_1/delo_0105/098.jpg,0,0.465,0.272,0.397,1.249,0.116,21
data/opis_1/delo_0105/099.jpg,0,0.418,0.394,0.564,1.159,0.331,24
data/opis_1/delo_0105/100.jpg,0,0.666,0.501,0.304,1.305,0.171,9
data/opis_1/delo_0105/101.jpg,1,0.738,0.217,1.834,1.871,0.575,25
data/opis_1/delo_0105/102.jpg,0,0.428,0.319,0.336,1.059,0.304,28
data/opis_1/delo_0105/103.jpg,0,0.337,0.55,0.353,1.04,0.048,28
data/opis_1/delo_0105/104.jpg,0,0.488,0.203,0.451,1.182,0.077,26
data/opis_1/delo_0105/105.jpg,0,0.363,0.456,0.325,1.112,0.15,26
data/opis_1/delo_0105/106.jpg,0,0.499,0.271,0.454,1.134,0.426,30
data/opis_1/delo_0105/107.jpg,0,0.429,0.26,0.399,1.111,0.354,30
data/opis_1/delo_0105/108.jpg,0,0.356,0.406,0.343,1.078,0.252,28
data/opis_1/delo_0105/109.jpg,0,0.497,-0.072,0.37,1.208,0.318,28
data/opis_1/delo_0105/110.jpg,0,0.368,0.339,0.286,1.065,0.195,30
data/opis_1/delo_0105/111.jpg,0,0.362,0.52,0.349,1.237,0.342,32
data/opis_1/delo_0105/112.jpg,0,0.38,0.189,0.298,1.075,0.251,28
data/opis_1/delo_0105/113.jpg,0,0.426,-0.098,0.35,1.13,0.249,26
data/opis_1/delo_0105/114.jpg,0,0.343,0.208,0.345,1.087,0.317,29
data/opis_1/delo_0105/115.jpg,0,0.338,0.482,0.33,1.069,0.138,27
data/opis_1/delo_0105/116.jpg,0,0.335,0.622,0.336,1.06,0.037,27
data/opis_1/delo_0105/117.jpg,0,0.399,0.558,0.394,1.093,0.321,24
data/opis_1/delo_0105/118.jpg,0,0.543,0.352,0.632,1.251,0.114,22
data/opis_1/delo_0105/119.jpg,0,0.464,0.412,0.668,1.062,0.293,25
data/opis_1/delo_0105/120.jpg,0,0.586,0.083,0.663,1.213,0.438,30
data/opis_1/delo_0105/121.jpg,1,0.473,0.251,0.621,1.159,0.314,16
data/opis_1/delo_0045/000.jpg,1,0.796,1.0,2.044,2.012,1.109,14
data/opis_1/delo_0045/001.jpg,1,0.564,0.522,1.294,1.689,1.258,26
data/opis_1/delo_0045/002.jpg,1,0.698,1.0,1.417,1.208,1.453,10
data/opis_1/delo_0045/003.jpg,1,0.743,1.0,1.869,1.762,1.665,14
data/opis_1/delo_0045/004.jpg,1,0.855,1.0,2.089,1.051,1.151,6
data/opis_1/delo_0045/005.jpg,1,0.768,1.0,1.795,1.823,1.397,11
data/opis_1/delo_0045/006.jpg,1,0.821,1.0,1.797,1.482,1.055,6
data/opis_1/delo_0045/007.jpg,0,0.798,1.0,1.769,1.089,1.191,6
data/opis_1/delo_0045/008.jpg,1,0.722,1.0,1.587,1.803,1.527,8
data/opis_1/delo_0045/009.jpg,0,0.828,0.752,1.521,1.539,1.126,6
data/opis_1/delo_0045/010.jpg,1,0.847,1.0,1.795,1.548,1.001,6
data/opis_1/delo_0045/011.jpg,1,0.667,1.0,1.413,1.428,1.646,13
data/opis_1/delo_0045/012.jpg,1,0.761,1.0,1.457,1.472,1.255,7
data/opis_1/delo_0045/013.jpg,1,0.737,1.0,1.424,1.122,1.169,6
data/opis_1/delo_0045/014.jpg,1,0.712,1.0,1.61,1.357,1.432,9
data/opis_1/delo_0045/015.jpg,1,0.768,1.0,1.646,1.218,1.392,9
data/opis_1/delo_0045/016.jpg,1,0.895,1.0,1.596,2.144,1.134,5
data/opis_1/delo_0045/017.jpg,1,0.77,1.0,1.621,1.153,1.388,8
data/opis_1/delo_0045/018.jpg,1,0.768,1.0,1.831,1.459,1.353,7
data/opis_1/delo_0045/019.jpg,1,0.822,1.0,1.634,1.79,0.877,4
data/opis_1/delo_0045/020.jpg,1,0.849,1.0,1.423,1.938,0.885,4
data/opis_1/delo_0045/021.jpg,1,0.816,1.0,1.88,1.207,0.977,6
data/opis_1/delo_0045/022.jpg,1,0.649,1.0,0.94,1.609,1.825,13
data/opis_1/delo_0045/023.jpg,1,0.789,1.0,1.479,1.765,1.268,8
data/opis_1/delo_0045/024.jpg,1,0.819,1.0,1.26,1.949,1.146,6
data/opis_1/delo_0045/026.jpg,1,0.786,1.0,1.227,1.216,1.219,9
data/opis_1/delo_0045/027.jpg,1,0.716,1.0,0.951,1.258,1.261,9
data/opis_1/delo_0045/028.jpg,1,0.584,1.0,1.154,1.159,1.36,12
data/opis_1/delo_0045/029.jpg,1,0.772,0.694,1.132,1.47,1.495,7
data/opis_1/delo_0045/030.jpg,1,0.68,1.0,1.783,1.382,1.456,7
data/opis_1/delo_0045/031.jpg,1,0.699,0.694,1.638,1.821,1.324,7
data/opis_1/delo_0045/032.jpg,1,0.682,1.0,1.675,1.604,1.339,7
data/opis_1/delo_0045/033.jpg,1,0.73,1.0,1.645,1.395,1.473,8
data/opis_1/delo_0045/034.jpg,1,0.753,0.681,1.57,2.399,1.71,6
data/opis_1/delo_0045/035.jpg,1,0.749,0.694,1.661,1.488,1.378,7
data/opis_1/delo_0045/036.jpg,1,0.716,0.599,1.711,1.678,1.841,14
data/opis_1/delo_0045/037.jpg,1,0.676,1.0,1.834,1.302,1.795,14
data/opis_1/delo_0045/038.jpg,1,0.821,1.0,1.827,1.215,1.211,6
data/opis_1/delo_0045/039.jpg,1,0.713,1.0,2.01,1.117,1.491,8
data/opis_1/delo_0045/040.jpg,1,0.804,0.706,1.523,1.523,1.453,8
data/opis_1/delo_0045/041.jpg,1,0.671,1.0,2.291,1.347,1.422,7
data/opis_1/delo_0045/042.jpg,1,0.734,1.0,1.573,1.633,1.51,11
data/opis_1/delo_0045/043.jpg,1,0.752,1.0,1.934,1.489,1.74,11
data/opis_1/delo_0045/044.jpg,1,0.851,1.0,1.842,1.481,1.038,5
data/opis_1/delo_0045/045.jpg,1,0.792,1.0,1.851,1.886,1.114,5
data/opis_1/delo_0045/046.jpg,1,0.827,1.0,1.426,1.593,1.317,7
data/opis_1/delo_0045/047.jpg,1,0.516,0.672,1.38,1.165,0.517,21
data/opis_1/delo_0045/048.jpg,1,0.749,1.0,1.386,1.862,0.607,31
