portal_id,title_ru,title_en
1,"Статья К.Э. Циолковского ""К вопросу о летании посредством крыльев""","Article by K. E. Tsiolkovsky ""On the question of flying by means of wings"""
2,"Статья К.Э. Циолковского ""Давление жидкости на двигающуюся плоскость"" [Влияние продолговатости пластинки, движущейся в жидкости, на давление, производимое на нее последней]","Article by K. E. Tsiolkovsky ""Pressure of a liquid on a moving plane"" [The influence of the elongation of a plate moving in a liquid on the pressure exerted on it by the latter]"
3,"Позднейшие замечания К.Э. Циолковского к работе ""Летание посредством крыльев""","Later remarks by K. E. Tsiolkovsky on the work ""Flying by means of wings"""
4,"(Письмо) К.Э. Циолковского ""Первые планы по сопротивлению воздуха"" в С.-Петербургское физико-химическое общество","(Letter) by K. E. Tsiolkovsky ""First plans on air resistance"" to the St. Petersburg Physico-Chemical Society"
5,"Письмо К.Э. Циолковского ""Первые планы опытов по сопротивлению воздуха"" в Императорскую Академию наук (не окончено)","Letter by K. E. Tsiolkovsky ""First plans of experiments on air resistance"" to the Imperial Academy of Sciences (unfinished)"
6,"Доклад К.Э. Циолковского в Императорскую академию наук об опытах по сопротивлению воздуха, производимых на средства Академии с 1-го марта 1900 г. по 1-е октября 1901 г. и в 1901 и 1902 гг","Report by K. E. Tsiolkovsky to the Imperial Academy of Sciences on experiments on air resistance, conducted with the funds of the Academy from March 1, 1900 to October 1, 1901 and in 1901 and 1902"
7,"Копии чертежей к отчету К.Э. Циолковского об опытах по сопротивлению воздуха, проводившихся в 1900 – 1901 гг. и чертежи к продолжению отчета (опыты 1901 – 1902 гг.)",Copies of drawings for K. E. Tsiolkovsky's report on experiments on air resistance conducted in 1900-1901 and drawings for the continuation of the report (experiments of 1901-1902)
8,"Доклад К.Э. Циолковского в Императорскую Академию Наук об опытах по сопротивлению воздуха, производимых на средства Академии с 1-го марта 1900 г. по 1-е октября 1901 г. 2-й вариант","Report by K. E. Tsiolkovsky to the Imperial Academy of Sciences on experiments on air resistance, conducted with the funds of the Academy from March 1, 1900 to October 1, 1901. 2nd variant"
9,"Атлас чертежей к отчету К.Э. Циолковского об опытах по сопротивлению воздуха, производимые на средства Императорской Академии Наук с 1-го марта 1900 г. до 1-го октября 1901 г. и пояснения к чертежам","Atlas of drawings for K. E. Tsiolkovsky's report on experiments on air resistance, conducted with the funds of the Imperial Academy of Sciences from March 1, 1900 to October 1, 1901, and explanations to the drawings"
10,"Фрагмент статьи К.Э. Циолковского ""Аэроплан""","Fragment of an article by K. E. Tsiolkovsky ""Aeroplane"""
11,"Статья К.Э. Циолковского ""Трение и сопротивление воздуха""","Article by K. E. Tsiolkovsky ""Friction and air resistance"""
12,"Черновые таблицы К.Э. Циолковского ""Трение"", наброски и вставки к работе ""Трение и сопротивление воздуха""","Draft tables by K. E. Tsiolkovsky ""Friction"", sketches and insertions for the work ""Friction and air resistance"""
13,"Статья К.Э. Циолковского ""Трение и сопротивление воздуха""","Article by K. E. Tsiolkovsky ""Friction and air resistance"""
14,"Добавление к ""Сопротивлению воздуха"" К.Э. Циолковского. Таблицы и формулы","Addition to K. E. Tsiolkovsky's ""Air resistance"". Tables and formulas"
15,"Формулы и вычисления К.Э. Циолковского ""Новый пропеллер""","Formulas and calculations by K. E. Tsiolkovsky ""New propeller"""
16,"Отрывки работ К.Э. Циолковского ""[Сопротивление воздуха]""","Extracts of works by K. E. Tsiolkovsky ""[Air resistance]"""
17,"Статья К.Э. Циолковского ""Плотность разных слоев атмосферы""","Article by K. E. Tsiolkovsky ""The density of various layers of the atmosphere"""
18,"Статья К.Э. Циолковского ""Трение в газах""","Article by K. E. Tsiolkovsky ""Friction in gases"""
19,"Начало работы [отрывок] К.Э. Циолковского ""Выгоднейшая продолговатость птицеподобных тел""","Beginning of the work [extract] by K. E. Tsiolkovsky ""The most advantageous elongation of bird-like bodies"""
20,"Статья К.Э. Циолковского ""[Самолет]""","Article by K. E. Tsiolkovsky ""[Airplane]"""
21,"Статья К.Э. Циолковского ""Гидроплан - крыло""","Article by K. E. Tsiolkovsky ""Hydroplane - Wing"""
22,"Статья К.Э. Циолковского ""Применение формул сопротивления (см. мое ""Сопротивление"" 1927 г.) к аэроплану, стратоплану и скорому вагону""","Article by K. E. Tsiolkovsky ""Application of the formulas of resistance (see my ""Resistance"" 1927) to the aeroplane, stratoplane and high-speed carriage"""
23,"Статья К.Э. Циолковского ""Гигантский гидроплан - крыло""","Article by K. E. Tsiolkovsky ""Giant Hydroplane - Wing"""
24,"Статья К.Э. Циолковского ""Когда планер может свободно летать""","Article by K. E. Tsiolkovsky ""When a Glider Can Fly Freely"""
25,"Статья К.Э. Циолковского ""Гидроплан-крыло - великан""","Article by K. E. Tsiolkovsky ""Hydroplane-Wing - the Giant"""
26,"Статья К.Э. Циолковского ""Сопротивление среды движению плавных птицеподобных тел"" [по материалам IV-й главы работы ""Основы построения""]","Article by K. E. Tsiolkovsky ""Resistance of the Medium to the Movement of Smooth Bird-like Bodies"" [based on materials from chapter IV of the work ""Fundamentals of Construction""]"
28,Отрывки вычислений К.Э. Циолковского и чертежи по астрономии,Extracts of calculations by K. E. Tsiolkovsky and drawings on astronomy
29,"Юношеские работы К.Э. Циолковского [Некоторая иллюстрация к ""Грезам""]. Чертежи с пояснениями к ним, составленными в феврале 1923 г","Youthful works of K. E. Tsiolkovsky [Some illustration to ""Dreams""]. Drawings with explanations to them, compiled in February 1923"
30,"Вычисления и формулы К.Э. Циолковского, относящиеся к вопросу о межпланетных сообщениях. [""Вопрос о вечном блаженстве""]","Calculations and formulas of K. E. Tsiolkovsky relating to the question of interplanetary communications. [""The question of eternal bliss""]"
31,"Статья К.Э. Циолковского ""Свободное пространство""","Article by K. E. Tsiolkovsky ""Free Space"""
32,"Фрагменты рукописей К.Э. Циолковского ""Ракета"" 1897, 1902, 1903, 1911 гг","Fragments of manuscripts by K. E. Tsiolkovsky ""The Rocket"" for 1897, 1902, 1903, 1911"
33,"Статья К.Э. Циолковского ""Реактивный прибор, как средство полета в пустоте и в атмосфере"". Опубликована в журнале ""Воздухоплаватель"" [№2 за 1910 г., стр. 110-113]","Article by K. E. Tsiolkovsky ""The Reactive Device as a Means of Flight in a Vacuum and in the Atmosphere"". Published in the journal ""The Aeronaut"" [No. 2 for 1910, pp. 110-113]"
34,"Статья К.Э. Циолковского ""Исследование небесных пространств реактивными приборами""","Article by K. E. Tsiolkovsky ""Investigation of Celestial Spaces by Reactive Devices"""
35,"Cтатья К.Э. Циолковского ""Реактивный прибор - ракета"". Напечатана в журнале ""Вестник воздухоплавания"" [№№ 2, 3, 5, 6, 7, 9 за 1911 - 1912 гг.]. ""Исследование мировых пространств реактивными приборами"" 1903 года","Article by K. E. Tsiolkovsky ""The Reactive Device - the Rocket"". Printed in the journal ""Herald of Aeronautics"" [Nos. 2, 3, 5, 6, 7, 9 for 1911 - 1912]. ""Investigation of World Spaces by Reactive Devices"" of 1903"
36,"Начало научно-популярной повести К.Э. Циолковского ""В двухтысячном году [К ракете]"", впоследствии развернутой в книге ""Вне Земли""","Beginning of the popular-science tale by K. E. Tsiolkovsky ""In the Year Two Thousand [To the Rocket]"", subsequently expanded into the book ""Outside the Earth"""
37,"Отрывки вычислений К.Э. Циолковского ""Ракета""","Extracts of calculations by K. E. Tsiolkovsky ""The Rocket"""
38,"Предисловие к повести К.Э. Циолковского ""Вне Земли"". Материал для предисловия [от меня или редакции]. Приложена машкопия с комментариями Б.Н. Воробьева","Preface to the tale by K. E. Tsiolkovsky ""Outside the Earth"". Material for the preface [from me or the editors]. A typescript copy with comments by B. N. Vorobyev is attached"
39,"Набросок статьи К.Э. Циолковского ""План ""Ракеты""","Draft of an article by K. E. Tsiolkovsky ""Plan of ""The Rocket"""""
40,"Статья К.Э. Циолковского ""Космическая ракета. Завоевание Солнечной системы""","Article by K. E. Tsiolkovsky ""The Cosmic Rocket. Conquest of the Solar System"""
41,"Дополнение к статье К.Э. Циолковского ""Ракета. Формулы"". ""Реактивный прибор - ракета""","Addition to the article by K. E. Tsiolkovsky ""The Rocket. Formulas"". ""The Reactive Device - the Rocket"""
42,"Формулы К.Э. Циолковского ""Атмосфера - ракета - труба""","Formulas by K. E. Tsiolkovsky ""Atmosphere - Rocket - Tube"""
43,"Статья К.Э. Циолковского ""Ракета. [Реактивный прибор пушечного типа или ракетного типа]""","Article by K. E. Tsiolkovsky ""The Rocket. [Reactive device of cannon type or rocket type]"""
44,"Статья К.Э. Циолковского ""Аэроплан - крыло - ракета"" и материалы к ней","Article by K. E. Tsiolkovsky ""Aeroplane - Wing - Rocket"" and materials for it"
45,"Статья К.Э. Циолковского ""Исследование мировых пространств реактивными приборами"", таблицы, формулы и материалы к ней","Article by K. E. Tsiolkovsky ""Investigation of World Spaces by Reactive Devices"", tables, formulas and materials for it"
46,"Статья К.Э. Циолковского ""Космический корабль"". 1-й вариант","Article by K. E. Tsiolkovsky ""The Space Ship"". 1st variant"
47,"Статья К.Э. Циолковского ""Космический корабль"". 2-й вариант","Article by K. E. Tsiolkovsky ""The Space Ship"". 2nd variant"
48,"Конспективные записи К.Э. Циолковского ""Ракета. Взрывная труба"" расчетов и формул","Summary notes by K. E. Tsiolkovsky ""The Rocket. Explosive Tube"" of calculations and formulas"
49,"Набросок письма и статья К.Э. Циолковского ""Ракета"" для журнала ""Огонек"". [первоначальный вариант]","Draft of a letter and article by K. E. Tsiolkovsky ""The Rocket"" for the magazine ""Ogonyok"". [initial variant]"
50,"Статья К.Э. Циолковского ""Заатмосферные путешествия. [Ракета]"" для журнала ""Огонек"" [окончательный вариант]. Один из них исправлен в 1926 г","Article by K. E. Tsiolkovsky ""Beyond-Atmosphere Travels. [The Rocket]"" for the magazine ""Ogonyok"" [final variant]. One of them was corrected in 1926"
51,"Статья К.Э. Циолковского ""Аэроплан - ракета"" [Новый самолет для больших высот и скоростей] и материалы к ней","Article by K. E. Tsiolkovsky ""Aeroplane - Rocket"" [A new aircraft for great heights and speeds] and materials for it"
52,"Программа лекций К.Э. Циолковского ""Космическая ракета или снаряд для вселенских путешествий и иных целей""","Program of lectures by K. E. Tsiolkovsky ""The Cosmic Rocket or a Projectile for Universal Travels and Other Purposes"""
53,Письмо [О приоритете К.Э. Циолковского в вопросе о возвращении ракеты на Землю без затраты взрывчатого вещества],Letter [On the priority of K. E. Tsiolkovsky in the question of the return of the rocket to Earth without expenditure of explosive substance]
54,"Предисловие К.Э. Циолковского к книге Н.А. Рынина ""История работ К.Э. Циолковского по ракетным кораблям""","Preface by K. E. Tsiolkovsky to the book by N. A. Rynin ""History of the Works of K. E. Tsiolkovsky on Rocket Ships"""
55,"Черновой набросок К.Э. Циолковского ""Скорый поезд"" к работе ""Труды о космической ракете""","Draft sketch by K. E. Tsiolkovsky ""The Express Train"" for the work ""Works on the Cosmic Rocket"""
56,"Статья К.Э. Циолковского ""Завоевание солнечной системы. [Научная фантазия]"" [не окончена]","Article by K. E. Tsiolkovsky ""Conquest of the Solar System. [Scientific fantasy]"" [unfinished]"
57,"Вставки к работе К.Э. Циолковского ""Завоевание солнечной системы""","Insertions to the work by K. E. Tsiolkovsky ""Conquest of the Solar System"""
58,"Статья К.Э. Циолковского ""Реактивный аэроплан""","Article by K. E. Tsiolkovsky ""The Reactive Aeroplane"""
59,"Статья К.Э. Циолковского ""Главные выводы из моего сочинения ""Новый аэроплан""","Article by K. E. Tsiolkovsky ""The Main Conclusions from My Work ""The New Aeroplane"""""
60,"Статья К.Э. Циолковского ""Труды о космической ракете"" [1903 - 1927 гг.]","Article by K. E. Tsiolkovsky ""Works on the Cosmic Rocket"" [1903 - 1927]"
61,"Статья К.Э. Циолковского ""Возможно ли посещение планет"", [""Доступны ли планеты""], [""Достижимы ли иные планеты""]. [Ответ подписчику ""Вестника знания""]","Article by K. E. Tsiolkovsky ""Is a Visit to the Planets Possible"", [""Are the Planets Accessible""], [""Are Other Planets Attainable""]. [Answer to a subscriber of ""Herald of Knowledge""]"
62,"Фрагмент К.Э. Циолковского ""Формулы движения снаряда""","Fragment by K. E. Tsiolkovsky ""Formulas of the Motion of a Projectile"""
63,"Формулы К.Э. Циолковского ""Восходящее ускоренное движение ракетоплана""","Formulas by K. E. Tsiolkovsky ""Ascending Accelerated Motion of a Rocket-Plane"""
64,"Статья К.Э. Циолковского ""Восходящее ускоренное движение ракетоплана""","Article by K. E. Tsiolkovsky ""Ascending Accelerated Motion of a Rocket-Plane"""
65,"Статья К.Э. Циолковского ""От самолета к звездолету""","Article by K. E. Tsiolkovsky ""From the Airplane to the Starship"""
66,"Статья К.Э. Циолковского ""Стратоплан полуреактивный""","Article by K. E. Tsiolkovsky ""Semi-Jet Stratoplane"""
67,"Таблицы, формулы, рисунки К.Э. Циолковского ""Стратоплан [полуреактивный]""","Tables, formulas, drawings by K. E. Tsiolkovsky ""Stratoplane [Semi-Jet]"""
68,"Статья К.Э. Циолковского ""Звездоплавателям""","Article by K. E. Tsiolkovsky ""To Star Voyagers"""
69,"Черновые чертежи и таблицы к работе К.Э. Циолковского ""Стратоплан""","Draft drawings and tables for the work by K. E. Tsiolkovsky ""Stratoplane"""
70,Формулы стратоплана К.Э. Циолковского,Formulas of the stratoplane by K. E. Tsiolkovsky
71,"Статья К.Э. Циолковского ""Ускорение аэроплана высот от пропеллера"" [окончание труда ""Стратоплан полуреактивный""]","Article by K. E. Tsiolkovsky ""Acceleration of a High-Altitude Airplane from a Propeller"" [ending of the work ""Semi-Jet Stratoplane""]"
72,"Статья К.Э. Циолковского ""За атмосферу""","Article by K. E. Tsiolkovsky ""Beyond the Atmosphere"""
